City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Broken Hill,0,AU,1566856044,69,-31.97,141.45,37.4,3.36
Kwinana,59,AU,1566856439,81,-32.25,115.77,52.0,8.05
Georgetown,40,GY,1566856035,70,6.8,-58.16,86.0,4.7
